Binomial,Common name,Order,Family,Trophic level via fishbase,NwP,N,Prop w plastic,Mean num particles per indv,Habitat,Average depth,All_forage,Prime_forage,Second_forage,Primary_aggregation,Secondary_aggregation,Commercial,Aquaculture,Recreational ,IUCN status,Vulnerability score (via fishbase from Cheug et al 2005),Oceanographic province (from Longhurst 2007),Basin,Gyre,Year of collection,Publication year,Source,Includes microplastic,Notes
Pagrus pagrus,Red porgy,Perciformes,Sparidae,3.9,2,9,0.222222222,0.67,benthopelagic,45,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,Y,Y,LC,66,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Pelates quadrilineatus,Fourlined terapon,Perciformes,Terapontidae,3.5,38,135,0.281481481,0.45,reef-associated,,Benthic foraging,Benthic foraging,,Schooling,,minor commercial,N,N,Not assessed,29,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Pomadasys incisus,Bastard grunt,Perciformes,Haemulidae,3.8,9,29,0.310344828,0.41,demersal,55,"Active predation, benthic foraging",Benthic foraging,Active predation,,,minor commercial,N,N,LC,40,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Sardina pilchardus,European pilchard,Clupeiformes,Clupeidae,3.1,4,7,0.571428571,1.57,pelagic-neritic,100,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,Spawning,highly commercial,N,N,LC,27,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Saurida undosquamis,Brushtooth lizardfish,Aulopiformes,Synodontidae,4.5,36,99,0.363636364,0.62,reef-associated,175.5,"Active predation, benthic foraging",Active predation,Benthic foraging,,,minor commercial,N,N,LC,39,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Sciaena umbra,Brown meagre,Perciformes,Sciaenidae,3.8,1,1,1,1,demersal,,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,N,NT,64,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Scomber japonicus,Chub mackerel,Perciformes,Scombridae,3.4,4,7,0.571428571,5.86,pelagic-neritic,200,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,Spawning,highly commercial,Y,Y,LC,34,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Serranus cabrilla,Comber,Perciformes,Serranidae,3.4,2,6,0.333333333,0.67,demersal,252.5,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,Y,Y,LC,36,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Siganus luridus,Dusky spinefish,Perciformes,Siganidae,2,9,15,0.6,1.67,reef-associated,,Grazing,Grazing,,Schooling,Solitary,minor commercial,N,N,LC,39,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Sparus aurata,Gilthead seabream,Perciformes,Sparidae,3.7,30,110,0.272727273,0.42,demersal,15.5,"Active predation, benthic foraging, particulate feeder, grazing",Benthic foraging,Particulate feeder (juv),Schooling,Solitary,commercial,Y,Y,LC,40,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Trachurus mediterraneus,Mediterranean horse mackerel,Perciformes,Carangidae,3.8,47,98,0.479591837,1.06,pelagic-oceanic,,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,commercial,N,Y,LC,47,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Trigla lucerna,Tub gurnard,Scorpaeniformes,Triglidae,4,5,24,0.208333333,0.33,demersal,169,"Active predation, benthic foraging, particulate feeder, grazing",Benthic foraging,Active predation,,,commercial,N,Y,LC,40,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Umbrina cirrosa,Shi drum,Perciformes,Sciaenidae,3.4,0,1,0,0,demersal,50,Benthic foraging,Benthic foraging,,,,minor commercial,experimental,Y,Not assessed,40,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Upeneus moluccensis,Goldband goatfish,Perciformes,Mullidae,3.6,6,18,0.333333333,0.33,reef-associated,65,"Benthic foraging, active predation ",Benthic foraging,Active predation,Schooling,,commercial,N,N,LC,22,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Upeneus pori,Por's goatfish,Perciformes,Mullidae,3.5,23,78,0.294871795,0.36,demersal,10,Benthic foraging,Benthic foraging,,,,none,N,N,Not assessed,35,MEDI,Mediterranean,Mediterranean Sea,2015,2017,Guven et al. 2017,Y,
Clupea harengus,Atlantic herring,Clupeiformes,Clupeidae,3.4,0,131,0,0,benthopelagic,200,"Filter-feeder: facultative, particulate feeder",Filter-feeder: facultative,Particulate feeder,Schooling,,highly commercial,N,Y,LC,39,NECS,,North Sea,13-Jan,2017,Hermsen et al. 2017,Y,
Limanda limanda,Common dab,Pleuronectiformes,Scophthalmidae,3.4,0,100,0,0,demersal,85,"Benthic foraging, active predation ",Benthic foraging,Active predation,,,commercial,N,N,LC,40,NECS,,North Sea,13-Jan,2017,Hermsen et al. 2017,Y,
Merlangius merlangus,Whiting,Gadiformes,Gadidae,4.4,0,28,0,0,benthopelagic,65,"Active predation, benthic foraging, particulate feeder",Active predation,Particulate feeder,,,highly commercial,N,Y,LC,38,NECS,,North Sea,13-Jan,2017,Hermsen et al. 2017,Y,
Sprattus sprattus,European sprat,Clupeiformes,Clupeidae,3,1,141,0.007092199,0.0142,pelagic-neritic,80,Particulate feeder,Particulate feeder,,Schooling,,highly commercial,N,N,LC,33,NECS,,North Sea,13-Jan,2017,Hermsen et al. 2017,Y,
Ammodytes personatus,Pacific sand lance,Perciformes,Ammodytidae,3.1,11,734,0.014986376,0.07493188,demersal,86,Particulate feeder,Particulate feeder,,Schooling,,highly commercial,N,N,Not assessed,26,CCAL,North Pacific,British Columbia coast,2009-2016,2018,Hipfner et al. 2018,Y,
Clupea pallasii,Pacific herring,Clupeiformes,Clupeidae,3.2,4,205,0.019512195,0.248780488,pelagic-neritic,237.5,"Filter-feeder: facultative, particulate feeder",Filter-feeder: facultative,Particulate feeder,Schooling,,highly commercial,N,Y,Not assessed,28,CCAL,North Pacific,British Columbia coast,2009-2016,2018,Hipfner et al. 2018,Y,
Branchiostegus japonicus,Horsehead tilefish,Perciformes,Malacanthidae,3.4,18,18,1,4.6,demersal,115,Particulate feeder,Particulate feeder,,,,commercial,N,N,LC,35,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Callionymus planus,Japanese darter dragonet,Perciformes,Callionymidae,3.2,18,18,1,4.8,demersal,,not listed,,not listed,,,none,N,N,Not assessed,18,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Coilia ectenes,Japanese grenadier herring,Clupeiformes,Engraulidae,3,18,18,1,4,pelagic-neritic,,"Filter-feeder: facultative, particulate feeder",Filter-feeder: facultative,,,,commercial,N,N,EN,33,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Collichthys lucidus,,Perciformes,Sciaenidae,3.6,18,18,1,6.2,demersal,45,"Benthic foraging, active predation ",Benthic foraging,Active predation,,,none,N,N,Not assessed,17,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Cynoglossus abbreviatus,Three-lined tounge sole,Pleuronectiformes,Cynoglossidae,3.5,18,18,1,6.9,demersal,52.5,Benthic foraging,Benthic foraging,,,,commercial,N,N,Not assessed,47,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Harpodon nehereus,Bombay duck,Aulopiformes,Synodontidae,4.2,18,18,1,3.8,benthopelagic,50,Active predation,Active predation,,Schooling,,highly commercial,N,N,Not assessed,18,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Hyporhamphus intermedius,Asian pencil halfbeak,Beloniformes,Hemiramphidae,3.4,18,18,1,3.7,pelagic-neritic,,Particulate feeder,Particulate feeder,,,,commercial,N,N,Not assessed,21,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Larimichthys crocea,Large yellow croaker,Perciformes,Sciaenidae,3.7,18,18,1,4.6,benthopelagic,60,"Active predation, particulate feeder",Particulate feeder,Active predation,,,highly commercial,Y,N,Not assessed,42,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Lateolabrax japonicus,Japanese seabass,Perciformes,Lateolabracidae,3.1,18,18,1,2.1,reef-associated,,"Active predation, benthic foraging, particulate feeder",Particulate feeder,Active predation,,,commercial,Y,Y,Not assessed,52,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Mugil cephalus,Flathead gray mullet,Mugiliformes,Mugilidae,2.5,18,18,1,3.7,benthopelagic,5,"Benthic foraging, scavenging, grazing, particulate feeder (juv)",Benthic foraging,Particulate feeder (juv),Schooling,,highly commercial,Y,Y,LC,42,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Muraenesox cinereus,Daggertooth pike conger,Anguilliformes,Muraenesocidae,4.4,18,18,1,2.4,demersal,150,"Benthic foraging, active predation ",Active predation,Benthic foraging,,,highly commercial,Y,Y,Not assessed,62,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Oxyeleotris marmorata,Marble goby,Perciformes,Eleotridae,3.9,18,18,1,4.2,demersal,10,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,Y,N,LC,61,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Pampus cinereus,Silver pomfret,Perciformes,Stromateidae,3.3,18,18,1,3,benthopelagic,57.5,"Particulate feeder, benthic foraging",Particulate feeder,Benthic foraging,Schooling,,highly commercial,N,N,Not assessed,31,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Photopectoralis bindus,Orangefin ponyfish,Perciformes,Leiognathidae,2.9,18,18,1,4.1,demersal,81,"Benthic foraging, scavenging, grazing, particulate feeder",Benthic foraging,Particulate feeder,Schooling,,minor commercial,N,N,Not assessed,15,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Planiliza haematocheila,So-iuy mullet,Mugiliformes,Mugilidae,2.5,18,18,1,3.3,pelagic-neritic,7.5,"Benthic foraging, grazing, scavenging",Benthic foraging,,Schooling (juv),,commercial,N,N,Not assessed,58,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Psenopsis anomala,Pacific rudderfish,Perciformes,Centrolophidae,4,18,18,1,1.1,benthopelagic,185,Particulate feeder,Particulate feeder,,Schooling,,commercial,N,N,LC,32,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Sebastiscus marmoratus,False kelpfish,Scorpaeniformes,Sebastidae,3.7,18,18,1,4.2,demersal,,not listed,,not listed,,,commercial,Y,Y,Not assessed,33,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Sillago sihama,Silver sillago,Perciformes,Sillaginidae,3.3,18,18,1,2.8,reef-associated,1,"Benthic foraging, particulate feeder (juv)",Benthic foraging,Particulate feeder (juv),Schooling,,commercial,Y,N,LC,24,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Synechogobius ommaturus,Asian freshwater goby,Perciformes,Gobiidae,3.6,18,18,1,5.3,demersal,,not listed,,not listed,,,none,N,N,Not assessed,45,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Terapon jarbua,Jarbua terapon,Perciformes,Terapontidae,3.9,18,18,1,3,demersal,185,"Active predation, benthic foraging, particulate feeder (juv), grazing",Active predation,Benthic foraging,Schooling,,minor commercial,Y,N,LC,37,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Thamnaconus septentrionalis,,Tetraodontiformes,Monacanthidae,3.4,18,18,1,7.2,demersal,,not listed,,not listed,,,none,N,N,Not assessed,35,CHIN,,East and South China Sea,2015,2017,Jabeen et al. 2017,Y,
Lampris immaculatus,Southern opah,Lampriformes,Lampridae,4.4,10,69,0.144927536,0.144927536,pelagic-oceanic,267.5,"Active predation, benthic foraging, particulate feeder",Active predation,,,,none,N,N,Not assessed,57,FKLD,,South Pacific Gyre,1993-1994,2000,Jackson et al. 2000,N,"Thin translucent strip of plastic (28.5 _ 13.5 cm), 1 piece mono-filament line (6 cm), 1 cigarette packet wrapper, Spanish ÔFelipitaÕ super-absorbent napkin wrapper (19.5 _ 18 cm), Thin, translucent strip of plastic (67.5 _ 4.5 cm), 1 piece polythene, not measured , Frozen fish packed from Chile, imported to USA (28 _ 36 cm) , Thick plastic sheet (10 _ 13 cm), Bluebird crisp packetÑNew Zealand (16 _ 20 cm), 1 piece clear wrapping plastic (2.5 _ 1.5 cm)"
Alepisaurus ferox,Longsnouted lancetfish,Aulopiformes,Alepisauridae,4,47,192,0.244791667,,bathypelagic,915,"Active predation, benthic foraging, particulate feeder",Active predation,Benthic foraging,,,none,N,N,LC,83,NPTG,,North Pacific Gyre,November 2010-August 2011,2013,Jantz et al. 2013,Y,"Only quantified plastic >1mm, detailed information of size and sillouhuette size etc. listed for types of debris"
Ciliata mustela,Five bearded rockling,Gadiformes,Lotidae,3.5,6,108,0.055555556,,demersal,,"Benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,,,commercial,N,N,LC,19,NECS,North Atlantic,Bristol Channel and Severn estuary,1972-1975,1976,Kartar et al. 1976,Y,Only quantified plastic >1mm
Platichthys flesus,Flounder,Pleuronectiformes,Pleuronectidae,3.3,133,1090,0.122018349,,demersal,50,"Benthic foraging, particulate feeder (juv)",Benthic foraging,Particulate feeder (juv),,,commercial,experimental,Y,LC,42,NECS,North Atlantic,Bristol Channel and Severn estuary,1972-1975,1976,Kartar et al. 1976,Y,Only quantified plastic >1mm
Pomatoschistus minutus,Sand goby,Perciformes,Gobiidae,3.2,15,200,0.075,,demersal,102,"Benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,Schooling,,none,N,N,LC,15,NECS,North Atlantic,Bristol Channel and Severn estuary,1972-1975,1976,Kartar et al. 1976,Y,Only quantified plastic >1mm
Sardinella longiceps,Indian oil sardine,Clupeiformes,Clupeidae,2.4,0,12,0,0,pelagic-neritic,110,"Benthic foraging, particulate feeder, grazing, filter-feeder: facultative",Particulate feeder,Filter-feeder: facultative,Schooling,,highly commercial,N,N,LC,17,INDE,Indian Ocean,Southern India,2013,2013,Kripa et al. 2014,Y,
Stolephorus commersonnii,Commerson's anchovy,Clupeiformes,Engraulidae,3.1,6,16,0.375,,pelagic-neritic,25,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,commercial,N,N,LC,14,INDE,Indian Ocean,Southern India,2013,2013,Kripa et al. 2014,Y,
Boreogadus saida,Polar cod,Gadiformes,Gadidae,3.1,2,72,0.027777778,0.11,demersal,200,"Benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,,,highly commercial,N,N,Not assessed,46,BPRL,,Arctic Ocean,2012-2015,2018,Kuhn et al. 2018,Y,
Gadus morhua,Atlantic Cod,Gadiformes,Gadidae,4.1,5,205,0.024,0.034,benthopelagic,175,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,Schooling,Spawning,highly commercial,Y,Y,VU,65,GFST,,Newfoundland,2015,2016,Liboiron et al. 2016,Y,Only quantified plastic >1mm
Merluccius bilinearis,Silver hake,Gadiformes,Merluccidae,4.5,0,134,0,0,demersal,484.5,"Active predation, benthic foraging, particulate feeder",Active predation,Benthic foraging,,,none,N,N,NT,54,GFST,,Newfoundland,2016,2018,Liboiron et al. 2018,Y,
Aphanopus carbo,Black scabbard,Perciformes,Trichiuridae,4.5,0,11,0,,bathypelagic,1000,"Active predation, particulate feeder",Active predation,,,,highly commercial,N,N,Not assessed,64,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Callionymus lyra,Dragonet,Perciformes,Callionymidae,4.3,0,2116,0,,demersal,17.5,Benthic foraging,Benthic foraging,,,,minor commercial,N,N,LC,29,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Chelidonichthys cuculus,Red gurnard,Scorpaeniformes,Triglidae,3.8,1,3503,0.00028547,,demersal,140,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,Schooling,,minor commercial,N,N,LC,46,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Chelidonichthys gurnardus,Gray gurnard,Scorpaeniformes,Triglidae,3.9,0,2853,0,,demersal,80,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,commercial,N,N,Not assessed,30,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Chelidonichthys lucerna,Tub gurnard,Scorpaeniformes,Triglidae,4,0,1019,0,,demersal,169,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,commercial,N,Y,LC,40,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Chelidonichthys obscurus,Longfin gurnard,Scorpaeniformes,Triglidae,3.7,0,412,0,,demersal,85,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Particulate feeder,,,commercial,N,N,LC,52,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Conger conger,European conger,Anguilliformes,Congridae,4.2,1,7007,0.000142714,,demersal,585.5,Active predation,Active predation,,,,commercial,N,Y,LC,86,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Deania calcea,Birdbeak dogfish,Squaliformes,Centrophoridae,4.3,0,130,0,,bathydemersal,900,"Active predation, benthic foraging",Active predation,Benthic foraging,,,minor commercial,N,N,LC,66,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Etmopterus spinax,Velvet Belly,Squaliformes,Etmopteridae,4.1,0,756,0,,bathydemersal,350,Active predation,Active predation,,,,minor commercial,N,N,LC,63,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Gaidropsarus macrophthalmus,Bigeye rockling,Gadiformes,Lotidae,3.5,0,725,0,,demersal,340,Benthic foraging,Benthic foraging,,,,subsistence,N,N,LC,27,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Galeus spp.,,Carcharhiniformes,Scyliorhinidae,,3,2962,0.001012829,,,,Active predation,Active predation,,,,,,,,,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Helicolenus dactylopterus,Blackbelly rosefish,Scorpaeniformes,Sebastidae,3.5,0,3618,0,,bathydemersal,375,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,N,LC,54,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Lepidorhombus boscii,Four-spot megrim,Pleuronectiformes,Scophthalmidae,3.7,0,25914,0,,demersal,403.5,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,minor commercial,N,N,Not assessed,38,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Lepidorhombus whiffiagonis,Megrim,Pleuronectiformes,Scophthalmidae,4.3,0,6753,0,,demersal,400,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,highly commercial,N,N,Not assessed,62,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Leucoraja circularis,Sandy ray,Rajiformes,Rajidae,3.5,0,34,0,,demersal,373,Benthic foraging,Benthic foraging,,,,minor commercial,N,N,EN,67,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Leucoraja naevus,Cuckoo ray,Rajiformes,Rajidae,4.2,1,381,0.002624672,,demersal,260,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,N,LC,47,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Lithognathus mormyrus,Sand seabras,Perciformes,Sparidae,3.4,0,63,0,,demersal,15,"Active predation, benthic foraging",Benthic foraging,,Schooling,,minor commercial,N,Y,LC,40,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Lophius budegassa,Blackbellied angler,Lophiiformes,Lophiidae,4.4,0,505,0,,bathydemersal,541.5,"Active predation, benthic foraging",Active predation,Benthic foraging,,,commercial,N,N,DD,69,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Lophius piscatorius,Angler,Lophiiformes,Lophiidae,4.5,0,1382,0,,bathydemersal,,"Active predation, benthic foraging",Active predation,Benthic foraging,,,highly commercial,N,N,LC,72,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Merluccius merluccius,European hake,Gadiformes,Merluccidae,4.4,0,16164,0,,demersal,235,"Active predation, particulate feeder (juv)",Active predation,Particulate feeder (juv),,,highly commercial,N,Y,LC,64,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Micomesistius poutassou,Blue whiting,Gadiformes,Gadidae,4.1,2,10575,0.000189125,,demersal,350,"Active predation, benthic foraging, particulate feeder",Active predation,Particulate feeder,,,highly commercial,N,N,Not assessed,34,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Molva macrophthalma,Spanish ling,Gadiformes,Lotidae,4.5,0,990,0,,demersal,600,"Active predation, benthic foraging",Active predation,Benthic foraging,,,none,N,N,LC,63,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Mullus surmuletus,Surmullet,Perciformes,Mullidae,3.5,0,1298,0,,demersal,207,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,Y,LC,39,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Pagellus acarne,Axillary seabream,Perciformes,Sparidae,3.8,0,1917,0,,benthopelagic,70,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,Y,LC,43,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Pagellus bogaraveo,Blackspot seabream,Perciformes,Sparidae,4.2,0,174,0,,benthopelagic,226,"Active predation, benthic foraging, particulate feeder",Active predation,Benthic foraging,,,commercial,Y,N,NT,57,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Pagellus erythrinus,Common pandora,Perciformes,Sparidae,3.5,0,370,0,,benthopelagic,60,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,Y,LC,40,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Phycis blennoides,Greater forkbeard,Gadiformes,Phycidae,3.7,0,1828,0,,benthopelagic,275,"Active predation, benthic foraging, particulate feeder",Active predation,Benthic foraging,,,commercial,N,N,Not assessed,52,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Raja clavata,Thornback ray,Rajiformes,Rajidae,3.5,0,2705,0,,demersal,512.5,"Active predation, benthic foraging",Benthic foraging,Active predation,Spawning,,commercial,N,Y,NT,73,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Raja montagui,Spotted ray,Rajiformes,Rajidae,3.9,0,1421,0,,demersal,269,"Active predation, benthic foraging",Benthic foraging,Active predation,,,minor commercial,N,N,LC,57,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Scorpaena loppei,Cadenat's rockfish,Scorpaeniformes,Scorpaenidae,3.5,0,104,0,,demersal,125,Benthic foraging,Benthic foraging,,,,none,N,N,LC,26,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Scorpaena scrofa,Red scorpionfish,Scorpaeniformes,Scorpaenidae,4.3,0,51,0,,demersal,125,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,N,LC,68,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Scyliorhinus canicula,Lesser spoted dogfish,Carcharhiniformes,Scyliorhinidae,3.8,7,9981,0.000701333,,demersal,100,"Active predation, benthic foraging",Active predation,Benthic foraging,,,minor commercial,N,N,LC,62,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Scymnodon ringens,Knifetooth dogfish,Squaliformes,Somniosidae,3.9,0,49,0,,bathypelagic,900,Active predation,Active predation,,,,minor commercial,N,N,DD,58,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Spondyliosoma cantharus,Black seabream,Perciformes,Sparidae,3.3,0,284,0,,benthopelagic,152.5,"Active predation, benthic foraging, particulate feeder",Benthic foraging,,,,commercial,Y,N,LC,37,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Trachyscorpia cristulata,Atlantic Thornyhead,Scorpaeniformes,Sebastidae,3.9,0,49,0,,demersal,615,,,,,,none,N,N,LC,69,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Trigla lyra,piper gurnard,Scorpaeniformes,Triglidae,3.7,0,1488,0,,bathydemersal,275,Benthic foraging,Benthic foraging,,,,minor commercial,N,N,LC,63,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Trisopterus luscus,Pouting,Gadiformes,Gadidae,3.7,1,3076,0.000325098,,benthopelagic,65,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,Schooling,,commercial,N,N,Not assessed,44,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Trisopterus minutus,Poor cod,Gadiformes,Gadidae,3.7,0,2062,0,,benthopelagic,107.5,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,commercial,N,N,Not assessed,48,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Zeus faber,John Dory,Zeiformes,Zeidae,4.5,0,1346,0,,benthopelagic,100,"Active predation, benthic foraging",Active predation,Benthic foraging,Solitary,,commercial,Y,N,DD,68,NECS,North Atlantic,Iberian Sea,1999-2016,2018,Lucia et al. 2018,N,"Only reported volume, not plastic item number"
Aspitrigla cuculus,Red gurnard,Scorpaeniformes,Triglidae,3.8,34,66,0.515151515,0.9994,demersal,140,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,Schooling,,minor commercial,N,N,LC,46,NECS,North Atlantic,English Channel,June 2010-July 2011,2013,Lusher et al. 2013,Y,
