Species name,Common name,Order,Family,Diet,Trophic level via fishbase,NwP,N,Prop w plastic,average debris proportion (% mass),Type of debris,Color of debris,Average size of plastic,Size of fish,Habitat,Average depth,All_forage,Prime_forage,Second_forage,Primary_aggregation,Secondary_aggregation,Commercial,Aquaculture,Recreational ,IUCN status,Vulnerability score (via fishbase from Cheug et al 2005),Oceanographic province (from Longhurst 2007),Basin,Gyre,Year of collection,Publicaton year,Source,Notes
Galeus melastomus,Blackmouth catshark,Carcharhiniformes,Scyliorhinidae,"piscivorous, invertebrates",4.2,21,125,0.168,,,,,,demersal,675,Active predation,Active predation,,,,minor commercial,N,N,LC,57,MEDI,Mediterranean,Mediterranean Sea,NA,2017,Alomar and Deudero 2017,
Mullus surmuletus,Surmullet,Perciformes,Mullidae,"crustaceans, mollusks",3.5,114,417,0.273381295,,,,,,demersal,207,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,Y,LC,39,MEDI,Mediterranean,Mediterranean Sea,Nov 2014 - Apr 2015,2017,Alomar et al. 2017,
Polyprion americanus,Wreckfish,Perciformes,Polyprionidae,"invertebrates, piscivorous",4.1,0,14,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,demersal,200,Active predation,Active predation,,Solitary,,minor commercial,N,Y,CR,72,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Etmopterus spinax,Velvet Belly,Squaliformes,Etmopteridae,"Carnivorous (piscivorous, invertebrates)",4.1,1,16,0.0625,6.30%,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,bathydemersal,350,Active predation,Active predation,,,,minor commercial,N,N,LC,63,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Xiphias gladius,Swordfish,Perciformes,Xiphiidae,"opportunistic piscivore, invertebrates",4.5,0,1,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,pelagic-oceanic,275,Active predation,Active predation,,,,commercial,N,Y,EN,72,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Molva macrophthalma,Spanish ling,Gadiformes,Lotidae,no data,4.5,0,13,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,demersal,600,"Active predation, benthic foraging",Active predation,,,,none,N,N,LC,63,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Lepidopus caudatus,Silver scabbardfish,Perciformes,Trichiuridae,predatory,3.8,0,1,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,benthopelagic,200,Active predation,Active predation,,Schooling,,highly commercial,N,Y,DD,53,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Squalus acanthias,Picked dogfish,Squaliformes,Squalidae,omnivore,4.4,0,10,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,benthopelagic,175,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,Spawning,commercial,N,Y,LC,64,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Squalus blainville,Longnose spurdog,Squaliformes,Squalidae,carnivorous,4,1,75,0.013333333,1.30%,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,demersal,398,Active predation,Active predation,,Schooling,,commercial,N,N,DD,67,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Scyliorhinus canicula,Lesser spoted dogfish,Carcharhiniformes,Scyliorhinidae,benthic invertebrates,3.8,0,1,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,demersal,100,"Active predation, benthic foraging",Active predation,Benthic foraging,,,minor commercial,N,N,LC,62,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Centrophorus granulosus,Gulper Shark,Squaliformes,Centrolophidae,"piscivorous, invertebrates",4.1,0,5,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,bathydemersal,400,Active predation,Active predation,,,,minor commercial,N,N,DD,70,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,"*Plastics catagories: 56% hard pieces, 22% plastic bag fragments, 19% monofilament nylon, 3% textile fibers"
Merluccius merluccius,European hake,Gadiformes,Merluccidae,piscivorous,4.4,0,36,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,demersal,235,"Active predation, particulate feeder (juv)",Active predation,Particulate feeder (juv),,,highly commercial,N,Y,LC,64,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Conger conger,European conger,Anguilliformes,Congridae,predatory,4.2,0,44,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,demersal,585.5,Active predation,Active predation,,,,commercial,N,Y,LC,86,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Galeus melastomus,Blackmouth catshark,Carcharhiniformes,Scyliorhinidae,"piscivorous, invertebrates",4.2,24,751,0.03195739,3.20%,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,demersal,675,Active predation,Active predation,,,,minor commercial,N,N,LC,57,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,"*litter data analyzed using General Linear Model Analysis of Variance to see if any relationship between weight of litter and the season, sex, maturity, and fullness index as factors and length as covariate"
Brama brama,Atlantic pomfret,Perciformes,Bramidae,predatory,4.1,0,9,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,pelagic-neritic,100,Active predation,Active predation,,Schooling,,commercial,N,N,LC,71,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Sudis hyalina,,Aulopiformes,Paralepidae,carnivorous,4.2,0,5,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,bathypelagic,1100,Active predation,Active predation,,,,none,N,N,DD,57,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Raja clavata,Thornback ray,Rajiformes,Rajidae,"omnivore, crustaceans",3.5,0,2,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,demersal,512.5,"Active predation, benthic foraging",Benthic foraging,Active predation,Spawning,,commercial,N,Y,NT,73,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Scorpaena elongata,Slender rockfish,Scorpaeniformes,Scorpaenidae,"invertebrates, piscivorous",3.9,0,1,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,demersal,600,"Active predation, benthic foraging",Benthic foraging,Active predation,,,minor commercial,N,N,LC,63,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Pteroplatytrygon violacea,Pelagic stingray,Myliobatiformes,Dasyatidae,"Carnivorous (coelenterates, piscivorous, invertebrates)",4.4,1,2,0.5,50% (percent frequency of litter present),"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,pelagic-oceanic,50,"Active predation, benthic foraging",Benthic foraging,Active predation,,,none,N,N,LC,63,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Raja oxyrinchus (Dipturus oxyrinchus),Longnosed skate,Rajiformes,Rajidae,omnivore,3.5,0,10,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,bathydemersal,650,"Active predation, benthic foraging",Benthic foraging,Active predation,,,minor commercial,N,N,NT,77,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Schedophilus ovalis,Imperial blackfish,Perciformes,Centrolophidae,no data,3.5,0,3,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,benthopelagic,240,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,commercial,N,N,Not assessed,60,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Phycis blennoides,Greater forkbeard,Gadiformes,Phycidae,"invertebrates, piscivorous",3.7,0,46,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,benthopelagic,275,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,commercial,N,N,Not assessed,52,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Mora moro,Common mora,Gadiformes,Moridae,omnivorous*,3.8,0,19,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,bathypelagic,1500,"Active predation, benthic foraging, scavenging",Benthic foraging,Active predation,,,minor commercial,N,N,LC,61,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,*noted to eat garbaage from fish base
Pagellus bogaraveo,Blackspot seabream,Perciformes,Sparidae,"invertebrates, piscivorous",4.2,1,60,0.016666667,1.70%,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,benthopelagic,225,"Active predation, benthic foraging, particulate feeder, grazing",Benthic foraging,Active predation,,,commercial,N,Y,NT,57,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Nettastoma melanurum,Blackfin sorcerer,Anguilliformes,Nettastomatidae,crustaceans,3.5,0,1,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,bathypelagic,594.5,"Active predation, benthic foraging",Benthic foraging,Active predation,,,none,N,N,LC,44,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Helicolenus dactylopterus,Blackbelly rosefish,Scorpaeniformes,Sebastidae,predatory,3.5,0,380,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,bathydemersal,375,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,N,LC,54,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Micomesistius poutassou,Blue whiting,Gadiformes,Gadidae,predatory,4.1,0,3,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,bathypelagic,350,"Active predation, particulate feeder, benthic foraging",Particulate feeder,Active predation,,,highly commercial,N,N,Not assessed,34,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Epigonus telescopus,Black cardinal fish,Perciformes,Epigonidae,"predatory, planktonic invertebrates",3.6,0,4,0,n/a,"plastics 86.5% in 25 individuals, metals 8.1% 3 individuals, wood 2.7% 1 individual","blue and black (bags), brown (hard plastic), transparent green (fishing gear)",5-60 mm,,bathydemersal,550,"Active predation, particulate feeder, benthic foraging",Particulate feeder,Benthic foraging,,,commercial,N,N,LC,70,MEDI,Mediterranean,Eastern Mediterranean Sea (Ionioan),summer and autumn 2010,2013,Anastasopoulou et al. 2013,
Chelidonichthys lucerna,Tub gurnard,Scorpaeniformes,Triglidae,,4,1,1,1,,,,,,demersal,169,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,commercial,N,Y,LC,40,MEDI,Mediterranean,Mediterranean Sea,2014-2015,2018,Anastasopoulou et al. 2018,
Mullus surmuletus,Surmullet,Perciformes,Mullidae,"invertebrates, piscivorous",3.5,21,38,0.552631579,,,,,,demersal,207,"Benthic foraging, active predation ",Benthic foraging,Active predation,,,commercial,N,Y,LC,39,MEDI,Mediterranean,Mediterranean Sea,2014-2015,2018,Anastasopoulou et al. 2018,
Citharus linguatula,Spotted flounder,Pleuronectiformes,Citaridae,,4,1,52,0.019230769,,,,,,demersal,150,"Active predation, benthic foraging",Benthic foraging,Active predation,,,minor commercial,N,N,LC,37,MEDI,Mediterranean,Mediterranean Sea,2014-2015,2018,Anastasopoulou et al. 2018,
Mullus barbatus,Red mullet,Perciformes,Mullidae,"crustaceans, mollusks",3.1,19,173,0.10982659,,,,,,demersal,200,Benthic foraging,Benthic foraging,,,,commercial,N,Y,LC,29,MEDI,Mediterranean,Mediterranean Sea,2014-2015,2018,Anastasopoulou et al. 2018,
Chelon auratus,Golden gray mullet,Mugiliformes,Mugilidae,,2.8,19,20,0.95,,,,,,pelagic-neritic,10,"Particulate feeder, scavenging",Benthic foraging,Particulate feeder (juv),,,commercial,Y,N,LC,35,MEDI,Mediterranean,Mediterranean Sea,2014-2015,2018,Anastasopoulou et al. 2018,*noted to eat garbaage from fish base
Sparus aurata,Gilthead seabream,Perciformes,Sparidae,,3.7,20,20,1,,,,,,demersal,15.5,Benthic foraging,Benthic foraging,,Solitary,Schooling,commercial,Y,Y,LC,40,MEDI,Mediterranean,Mediterranean Sea,2014-2015,2018,Anastasopoulou et al. 2018,*can be solitary or in small aggregations
Solea solea,Common sole,Pleuronectiformes,Soleidae,invertebrates,3.2,15,108,0.138888889,,,,,,demersal,35,Benthic foraging,Benthic foraging,,Solitary,,highly commercial,Y,Y,DD,36,MEDI,Mediterranean,Mediterranean Sea,2014-2015,2018,Anastasopoulou et al. 2018,
Pagellus erythrinus,Common pandora,Perciformes,Sparidae,,3.5,25,129,0.19379845,,,,,,benthopelagic,60,"Benthic foraging, particulate feeder, active predation",Benthic foraging,Active predation,,,commercial,N,Y,LC,40,MEDI,Mediterranean,Mediterranean Sea,2014-2015,2018,Anastasopoulou et al. 2018,
Trachurus mediterraneus,Mediterranean horse mackerel,Perciformes,Carangidae,,3.8,0,2,0,,,,,,pelagic-oceanic,,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,commercial,N,Y,LC,47,MEDI,Mediterranean,Mediterranean Sea,2014-2015,2018,Anastasopoulou et al. 2018,
Sardina pilchardus,European pilchard,Clupeiformes,Clupeidae,planktonic invertebrates,3.1,45,147,0.306122449,,,,,,pelagic-neritic,100,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,Spawning,highly commercial,N,N,LC,27,MEDI,Mediterranean,Mediterranean Sea,2014-2015,2018,Anastasopoulou et al. 2018,
Scomber japonicus,Chub mackerel,Perciformes,Scombridae,zooplantivorous,3.4,16,37,0.432432432,,,,,,pelagic-neritic,200,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,Spawning,highly commercial,Y,Y,LC,34,MEDI,Mediterranean,Mediterranean Sea,2014-2015,2018,Anastasopoulou et al. 2018,
Trachurus picturatus,Blue jack mackerel,Perciformes,Carangidae,,,0,9,0,,,,,,,,"Particulate feeder, benthic foraging",Particulate feeder,Benthic foraging,Schooling,,commercial,N,N,LC,68,MEDI,Mediterranean,Mediterranean Sea,2014-2015,2018,Anastasopoulou et al. 2018,
Trachurus trachurus,Atlantic horse mackerel,Perciformes,Carangidae,,3.7,12,50,0.24,,,,,,pelagic-neritic,150,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,highly commercial,N,Y,VU,59,MEDI,Mediterranean,Mediterranean Sea,2014-2015,2018,Anastasopoulou et al. 2018,
Squalus acanthias,Picked dogfish,Squaliformes,Squalidae,omnivore,4.4,4,9,0.444444444,,,,,,benthopelagic,175,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,Spawning,commercial,N,Y,LC,64,MEDI,Mediterranean,Adriatic Sea,2014,2015,Avio et al. 2015,
Merluccius merluccius,European hake,Gadiformes,Merluccidae,piscivorous,4.4,3,3,1,,,,,,demersal,235,"Active predation, particulate feeder (juv)",Active predation,Benthic foraging,,,highly commercial,N,N,LC,64,MEDI,Mediterranean,Adriatic Sea,2014,2015,Avio et al. 2015,
Chelidonichthys lucerna,Tub gurnard,Scorpaeniformes,Triglidae,,4,2,3,0.666666667,,,,,,demersal,169,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,,,commercial,N,Y,LC,40,MEDI,Mediterranean,Adriatic Sea,2014,2015,Avio et al. 2015,
Mullus barbatus,Red mullet,Perciformes,Mullidae,"crustaceans, mollusks",3.1,7,11,0.636363636,,,,,,demersal,200,Benthic foraging,Benthic foraging,,,,commercial,N,Y,LC,29,MEDI,Mediterranean,Adriatic Sea,2014,2015,Avio et al. 2015,
Sardina pilchardus,European pilchard,Clupeiformes,Clupeidae,planktonic invertebrates,3.1,19,99,0.191919192,,,,,,pelagic-neritic,100,"Filter-feeder: facultative, particulate feeder",Particulate feeder,Filter-feeder: facultative,Schooling,,highly commercial,N,N,LC,27,MEDI,Mediterranean,Adriatic Sea,2014,2015,Avio et al. 2015,
Pristipomoides typus,Sharptooth jobfish,Perciformes,Lutjanidae,,4.2,0,5,0,,,,,,demersal,80,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,,minor commercial,N,N,LC,39,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Cephalopholis argus,Peacock hind,Perciformes,Serranidae,,4.5,0,4,0,,,,,,reef-associated,20.5,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,,commercial,N,Y,LC,49,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Epinephelus radiatus,Oblique-banded grouper,Perciformes,Serranidae,,4,1,7,0.142857143,,,,,,demersal,200.5,"Active predation, benthic foraging",Active predation,Benthic foraging,,,minor commercial,N,N,LC,61,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Epinephelus epistictus,Dotted grouper,Perciformes,Serranidae,,4,1,5,0.2,,,,,,demersal,400,"Active predation, benthic foraging",Active predation,Benthic foraging,,,minor commercial,N,N,LC,57,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Epinephelus chlorostigma,Brownspotted grouper,Perciformes,Serranidae,,4,1,3,0.333333333,,,,,,reef-associated,152,Active predation,Active predation,,Spawning,,commercial,N,N,LC,38,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Gymnocranius grandoculis,Blue-lined large-eye bream,Perciformes,Lethrinidae,,3.8,2,10,0.2,,,,,,reef-associated,95,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,Solitary,minor commercial,N,N,LC,42,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Plectorhinchus gaterinus,Blackspotted rubberlip,Perciformes,Haemulidae,,4,2,6,0.333333333,,,,,,reef-associated,,"Active predation, benthic foraging",Active predation,Benthic foraging,Schooling,,commercial,N,Y,Not assessed,41,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Lipocheilus carnolabrum,Tang's snapper,Perciformes,Lutjanidae,,3.9,2,7,0.285714286,,,,,,demersal,215,"Active predation, benthic foraging",Benthic foraging,Active predation,,,commercial,N,N,LC,50,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Lethrinus microdon,Smalltooth emperor,Perciformes,Lethrinidae,,3.8,2,10,0.2,,,,,,reef-associated,45,"Active predation, benthic foraging",Benthic foraging,Active predation,Schooling,,commercial,N,N,LC,46,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Neoniphon sammara,Sammara squirrelfish,Perciformes,Holocentridae,,3.6,1,5,0.2,,,,,,reef-associated,23,Benthic foraging,Benthic foraging,,Schooling,,minor commercial,N,Y,LC,26,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Sargocentron spiniferum,Sabre squirrelfish,Beryciformes,Holocentridae,,3.6,0,5,0,,,,,,reef-associated,61.5,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,Solitary,,minor commercial,N,N,LC,40,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Parascolopsis eriomma,Rosy dwarm monocle bream,Perciformes,Nemipteridae,,3.5,3,5,0.6,,,,,,demersal,144.5,Benthic foraging,Benthic foraging,,,,subsistence,N,N,Not assessed,30,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Pygoplites diacanthus,Regal angelfish,Perciformes,Pomacanthidae,,2.7,0,5,0,,,,,,reef-associated,40,"Benthic foraging, grazing",Benthic foraging,Grazing,Schooling,Pairing,minor commercial,N,N,LC,46,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Thalassoma rueppellii,Klunzinger's wrasse,Perciformes,Labridae,,3.5,1,12,0.083333333,,,,,,reef-associated,15.5,Benthic foraging,Benthic foraging,,,,none,N,N,LC,29,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Pristipomoides multidens,Goldbanded jobfish,Perciformes,Lutjanidae,,3.8,2,10,0.2,,,,,,demersal,200,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,Schooling,,commercial,N,N,LC,43,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Lutjanus kasmira,Common bluestripe snapper,Perciformes,Lutjanidae,,3.9,2,12,0.166666667,,,,,,reef-associated,90,"Active predation, benthic foraging, particulate feeder, grazing",Benthic foraging,Active predation,Schooling,,commercial,N,Y,LC,40,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Chaetodon austriacus,Blacktail butterflyfish,Perciformes,Chaetodontidae,,3.3,1,10,0.1,,,,,,reef-associated,8,Benthic foraging,Benthic foraging,,Pairing,,commercial,N,N,LC,12,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Acanthurus gahhm,Black surgeonfish,Perciformes,Acanthuridae,,2.8,1,10,0.1,,,,,,reef-associated,22.5,"Particulate feeder, benthic foraging, grazing",Benthic foraging,Particulate feeder,Schooling,,commercial,N,N,LC,33,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Epinephelus areolatus,Areolate grouper,Perciformes,Serranidae,,3.7,1,5,0.2,,,,,,reef-associated,103,"Active predation, benthic foraging",Benthic foraging,Active predation,Spawning,,commercial,N,N,LC,36,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Acanthurus sohal,Sohal surgeonfish,Perciformes,Acanthuridae,,2,0,3,0,,,,,,,,Grazing,Grazing,,,,commercial,N,N,LC,33,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Naso unicornis,Bluespine unicornfish,Perciformes,Acanthuridae,,2.2,0,2,0,,,,,,reef-associated,90.5,Grazing,Grazing,,Schooling,Pairing,commercial,N,Y,LC,32,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Maurolicus mucronatus,,Stomiiformes,Sternoptychidae,,3.1,1,10,0.1,,,,,,bathypelagic,,not listed,not listed,not listed,,,none,N,N,Not assessed,11,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Vinciguerria mabahiss,,Stomiiformes,Phosichthyidae,,3.1,0,10,0,,,,,,bathydemersal,250,not listed,not listed,not listed,,,none,N,N,Not assessed,10,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Dascyllus trimaculatus,Threespot dascyllus,Perciformes,Pomacentridae,,2.8,0,2,0,,,,,,reef-associated,28,"Grazing, particulate feeder",Particulate feeder,Grazing,Schooling,,minor commercial,N,N,Not assessed,24,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Benthosema pterotum,Skinnycheek lanternfish,Myctophiformes,Myctophidae,,3.1,1,10,0.1,,,,,,benthopelagic,155,"Particulate feeder, benthic foraging",Particulate feeder,Benthic foraging,,,minor commercial,N,N,LC,10,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,
Abudefduf sexfasciatus,Scissortail sergeant,Perciformes,Pomacentridae,,2.7,1,5,0.2,,,,,,reef-associated,10.5,"Particulate feeder, grazing",Particulate feeder,Grazing,Schooling,,minor commercial,N,N,LC,29,REDS,Red Sea,Red Sea,2014,2018,Baalkhuyur et al. 2018,*found in groups feeding at midwater
Trachinotus ovatus,Pompano,Perciformes,Carangidae,,3.7,28,115,0.243478261,,,,,,,125,"Active predation, benthic foraging, particulate feeder",Benthic foraging,Active predation,Schooling,,minor commercial,Y,Y,LC,41,MEDI,Mediterranean,Mediterranean Sea,2012,2016,Battaglia et al. 2016,
Scyliorhinus canicula,Lesser spoted dogfish,Carcharhiniformes,Scyliorhinidae,carnivore,3.8,37,72,0.513888889,"20.8%, 1.20±0.45 microplastics/individual","*give type debris by total, see note","*gives % of colored debris, see note",,,demersal,100,"Active predation, benthic foraging",Active predation,Benthic foraging,,,minor commercial,N,N,LC,62,NECS,North Atlantic,North Atlantic Gyre,2014,2016,Bellas et al. 2016,"Type of debris: Fibers 71%, spheres 24% (only red mullets), films 3.2%, fragments 1.6%"
